Unnamed: 0,Freqs,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,Electrode_Distance,Genotype,Brain_State
0,1.0016,0.0003484220338211203,0.0001258530132586553,0.000161287017903955,0.0001488287292960492,0.0005479680471098895,0.0002688176836887831,0.0002654140150364432,0.001203785257613742,0.000283937441160082,0.0004795389342536974,0.0001857861751278675,0.0004149838582854738,0.0002814514045894611,0.0006292522732574054,0.0001018997931647475,0.0002894333087638296,0.0002176908748652989,0.0002835490253470864,Short,WT,wake
1,1.5024,0.001002757257255863,0.0004914195046433064,0.0001042848230020719,0.0008089047420619133,0.0009530864285874572,0.0002404684058169205,0.0004323410624319709,0.001794275543846621,0.0001790538555039473,0.0002825464173966794,0.0005835486856182668,0.0003929842320844741,0.0007972677250598097,0.002335056479279155,0.000189572629293733,0.000540979732958647,0.0006649805156250713,0.0002291716036212355,Short,WT,wake
2,2.0032,0.001672245403721124,0.001355062452242266,0.0005232662445710752,0.001883401241131856,0.0007634627379918152,0.001266155469688107,0.0007726156290207213,0.00210479299272647,0.0004734927379502536,0.0005943975558886784,0.0009365175288453525,0.000661661471039656,0.001388568508244167,0.004461933765241679,0.0005671078434390821,0.001430374270943941,0.0009875477786739659,0.0004240947898901651,Short,WT,wake
3,2.504,0.001892248394319842,0.002099430927069756,0.0009205671550632488,0.0026135337685495,0.0009388989049766535,0.002440346632088326,0.0009320443961916857,0.002340419518717862,0.0007383076543186656,0.0007472996529780723,0.0009788818185219705,0.001000542137913698,0.001432318151639869,0.00633337678253518,0.0007045576954676578,0.002419830861267243,0.001048500674296222,0.0006626551430706149,Short,WT,wake
4,3.0048,0.00198637098566603,0.002042530669055045,0.0008385823293482529,0.002415454210506114,0.0008846761665584545,0.002524945341829257,0.0009566413018818488,0.002261193520982732,0.0007036216625036407,0.0006981858149312557,0.000832862265162623,0.0009431981364488581,0.001097300279923417,0.007649319480021196,0.0005407267554888846,0.002454072941002337,0.001050363517645029,0.0007694557440835685,Short,WT,wake
5,3.5056,0.001475727416742651,0.001715705845534679,0.0004293912340029827,0.001547202174326748,0.0006403655733903597,0.001346958131932958,0.0007166712227311036,0.001756733941564045,0.0003655885910772224,0.001144113751409791,0.0009075403065700209,0.0007509348052164949,0.0005461587976865802,0.008795773818918192,0.0003539291081275685,0.001688982565223746,0.0006125010700303018,0.0004725521152271686,Short,WT,wake
6,4.0064,0.000923334371580533,0.001312920450084398,0.00252910486569563,0.0007330548784363459,0.0006166188359808195,0.0002830190334855514,0.0006467607185463798,0.001763357273919982,0.0003453573480229546,0.005156061844114869,0.00246307275197103,0.0006813967723912855,0.0004900692623238389,0.01082307765845013,0.001586646872067424,0.0007178274117535096,0.0006937776369682439,0.0002833183731858788,Short,WT,wake
7,4.5072,0.001363938135670656,0.001493837592844352,0.005778801501178729,0.0004124581653291845,0.001717186055791261,0.000984203161039854,0.0005914396224445625,0.00556195106837831,0.001665482688779738,0.01037222546169487,0.01030089888680739,0.001775732143176675,0.001323464047005012,0.01257400384588425,0.002737081619315118,0.0006532273940351822,0.001071308158620463,0.001042588833586717,Short,WT,wake
8,5.008,0.004645877779791346,0.003613281312401921,0.004587487987422431,0.001466410079349358,0.004495606524073643,0.002487636018534515,0.0008333138646724493,0.01368677929142836,0.004323404263639552,0.009056435211838763,0.01850583603610643,0.004089175880949601,0.003481687211744787,0.01337823222274269,0.00274276464532023,0.002137708962043523,0.001907408994895584,0.001574638284611747,Short,WT,wake
9,5.5088,0.007608948857671229,0.004928229939537023,0.003836014062089354,0.002846365481531086,0.005002012567901134,0.003170604645681968,0.003469284081752659,0.01679983832283682,0.01081034888838923,0.008456430761911238,0.01922426248166683,0.005877541653963331,0.005716380569000675,0.01514985250473349,0.003517114508559986,0.004169181995689538,0.002121349709542933,0.003132480319311565,Short,WT,wake
